name,yr_est,yrs_opr,address,city,state,zip,mascot,gr_served,day_or_res,website,lat,long
Alabama Institute for the Deaf and Blind,1858,168,205 South Street East,Talladega,Alabama,35160,Silent Warriors,PreK-12,Residential,https://www.aidb.org,33.43083,-86.0992
Alaska State School for the Deaf and Hard of Hearing,1973,53,5530 E Northern Lights Blvd,Anchorage,Alaska,99504,Seals,PreK-12,Residential,https://www.asdk12.org/aksdhh,61.19399,-149.775
American School for the Deaf,1817,209,139 North Main Street,West Hartford,Connecticut,06107,Tigers,K-12,Residential,http://www.asd-1817.org/,41.77111,-72.7471
Arizona State Schools for the Deaf and Blind,1912,114,1200 W Speedway Blvd,Tucson,Arizona,85745,Sentinels,PreK-12,Residential,https://asdb.az.gov/tucsoncampus/,32.23709,-110.99
Arkansas School for the Deaf,1849,177,2400 W Markham St,Little Rock,Arkansas,72205,Leopards,PreK-12,Residential,https://asd.ade.arkansas.gov/,34.75164,-92.2978
Atlanta Area School for the Deaf,1972,54,890 N Indian Creek Drive,Clarkston,Georgia,30021,Panthers,PreK-12,Day,https://www.aasdweb.com/,33.80259,-84.24
Beverly School for the Deaf,1876,150,6 Echo Avenue,Beverly,Massachusetts,01915,,PreK-12,Day,https://cccbsd.org/programs/beverly-school-for-the-deaf/,42.5565,-70.8929
Bruce Street School for the Deaf,1910,116,333 Clinton Place,Newark,New Jersey,07112,,PreK-8,Day,https://www.nps.k12.nj.us/bru/our-school/,40.7126,-74.2153
"California School for the Deaf, Fremont",1860,166,39350 Gallaudet Drive,Fremont,California,94538,Eagles,PreK-12,Residential,https://www.csdeagles.com/,37.56081,-121.964
"California School for the Deaf, Riverside",1950,76,3044 Horace Street,Riverside,California,92506,Cubs,PIP-12,Residential,https://www.csdr-cde.ca.gov/,33.94483,-117.383
Colorado School for the Deaf and Blind,1874,152,33 N Institute Street,Colorado Springs,Colorado,80903,Bulldogs,PreK-12,Residential,https://csdb.colorado.gov/,38.83494,-104.807
Delaware School for the Deaf,1929,97,630 E. Chestnut Hill Road,Newark,Delaware,19713,Blue Hawks,K-12,Residential,https://dsdeaf.org/,39.67479,-75.7063
Eastern North Carolina School for the Deaf,1964,62,1311 US Hwy 301 South,Wilson,North Carolina,27893-6621,Fighting Hornets,PreK-12,Residential,http://encsd.net/,35.72734,-77.8908
Florida School for the Deaf and Blind,1885,141,207 San Marco Avenue,St. Augustine,Florida,32084,Dragons,PreK-12,Residential,https://www.fsdbk12.org/,29.91388,-81.3188
Georgia School for the Deaf,1846,180,232 Perry Farm Road SW,Cave Spring,Georgia,30124,Tigers,PreK-12,Residential,https://www.gsdweb.org/,34.09622,-85.349
Governor Baxter School for the Deaf,1957,69,1 Mackworth Island,Falmouth,Maine,04105,Islanders,PreK-12,Residential,https://www.mecdhh.org/,43.68795,-70.2327
Hawaii School for the Deaf and the Blind,1914,112,3440 Leahi Avenue,Honolulu,Hawaii,96815,Dolphins,K-12,Residential,https://www.hsdb.k12.hi.us/,21.27335,-157.815
Horace Mann School for the Deaf and Hard of Hearing,1869,157,40 Armington Street,Allston,Massachusetts,02134,Cougars,PreK-12,Day,https://www.bostonpublicschools.org/horacemann,42.3522,-71.1377
Idaho School for the Deaf and the Blind,1906,120,1450 Main Street,Gooding,Idaho,83330,Raptors,K-12,Residential,https://www.iesdb.org/,42.92916,-114.712
Illinois School for the Deaf,1839,187,125 South Webster Avenue,Jacksonville,Illinois,62650,Tigers,PreK-12,Residential,http://www.illinoisdeaf.org/,39.7338,-90.2531
Indiana School for the Deaf,1843,183,1200 E 42nd Street,Indianapolis,Indiana,46205,Orioles,PreK-12,Residential,https://www.deafhoosiers.com/,39.83478,-86.1363
Iowa School for the Deaf,1855,171,3501 Harry Langdon Blvd,Council Bluffs,Iowa,51503,Bobcats,PreK-12,Residential,https://www.iowaschoolforthedeaf.org/,41.22539,-95.8199
Jean Massieu School for the Deaf,1999,27,1655 East 3300 South,Salt Lake City,Utah,84106,Yellowjackets,PreK-12,Day,https://www.usdb.org/,40.70074,-111.844
Kansas School for the Deaf,1861,165,450 E Park Street,Olathe,Kansas,66061,Jackrabbits,PreK-12,Residential,https://www.ksdeaf.org/,38.88298,-94.8127
Kendall Demonstration Elementary School,1857,169,800 Florida Avenue NE,Washington,District of Columbia,20002,Wildcats,PreK-8,Day,https://kdes.gallaudet.edu/,38.90879,-76.9897
Kentucky School for the Deaf,1823,203,303 S. 2nd Street,Danville,Kentucky,40422,Colonels,PreK-12,Residential,https://www.ksd.kyschools.us/,37.64021,-84.769
Lexington School and Center for the Deaf,1865,161,25-26 75th Street,East Elmhurst,New York,11370,Blue Jays,PreK-12,Day,https://www.lexnyc.org/,40.76164,-73.8935
Louisiana School for the Deaf,1852,174,2888 Brightside Drive,Baton Rouge,Louisiana,70820,War Eagles,PreK-12,Residential,https://www.ssdofla.org/schools___programs/louisiana_school_for_the_deaf,30.39337,-91.1884
Marlton School,1968,58,4000 Santo Tomas Drive,Los Angeles,California,90008,Eagles,K-12,Day,https://marltonschool.lausd.org/,34.00893,-118.344
Maryland School for the Deaf - Columbia Campus,1973,53,8169 Old Montgomery Road,Ellicott City,Maryland,21043,Orioles,PreK-8,Residential,https://www.msd.edu/,39.20747,-76.7947
Maryland School for the Deaf - Frederick Campus,1868,158,101 Clarke Place,Frederick,Maryland,21701,Orioles,K-12,Residential,https://www.msd.edu/,39.40868,-77.4102
Metro Deaf School,1993,33,1125 Energy Park Drive,St. Paul,Minnesota,55108,Cheetahs,PreK-12,Day,https://www.mdsmn.org/,44.97233,-93.1475
Michigan School for the Deaf,1848,178,1235 W. Court Street,Flint,Michigan,48503,Tartars,PreK-12,Residential,https://www.michiganschoolforthedeaf.org/,43.00588,-83.7005
Minnesota State Academy for the Deaf,1863,163,615 Olof Hanson Drive,Faribault,Minnesota,55021,Trojans,PreK-12,Residential,https://www.msa.state.mn.us/,44.29776,-93.2608
Mississippi School for the Deaf,1854,172,1403 Eastover Drive,Jackson,Mississippi,39211,Bulldogs,PreK-12,Residential,https://msdbk12.org/,32.34078,-90.1571
Missouri School for the Deaf,1851,175,505 East Fifth Street,Fulton,Missouri,65251-1799,Eagles,PreK-12,Residential,https://msd.dese.mo.gov/,38.84868,-91.9408
Model Secondary School for the Deaf,1969,57,800 Florida Avenue NE,Washington,District of Columbia,20002,Eagles,9-12,Residential,https://mssd.gallaudet.edu/,38.91019,-76.9906
Montana School for the Deaf and Blind,1893,133,3911 Central Avenue,Great Falls,Montana,59405,Mustangs,PreK-12,Residential,https://www.msdbmustangs.org/,47.5065,-111.239
Marie H. Katzenbach School for the Deaf,1883,143,320 Sullivan Way ,Trenton,New Jersey,08628,Colts,PreK-12,Residential,https://www.nj.gov/education/mksd/,40.25371,-74.8131
New Mexico School for the Deaf,1885,141,1060 Cerrillos Road,Santa Fe,New Mexico,87505,Roadrunners,PreK-12,Residential,https://www.nmsd.k12.nm.us/,35.67666,-105.957
New York School for the Deaf,1817,209,555 Knollwood Road,White Plains,New York,10603,Golden Tornadoes,PreK-12,Day,https://www.nysd.net/,41.05244,-73.7975
New York State School for the Deaf,1875,151,401 Turin Street,Rome,New York,13440,Trojans,PreK-12,Residential,https://www.p12.nysed.gov/specialed/nyssd/,43.22369,-75.4568
North Carolina School for the Deaf,1894,132,517 W Fleming Drive,Morganton,North Carolina,28655,Bears,PreK-12,Residential,https://ncsd.net/,35.72992,-81.6912
North Dakota School for the Deaf,1890,136,1401 College Drive North,Devils Lake,North Dakota,58301,Bulldogs,PreK-12,Residential,https://www.ndsd.nd.gov/,48.12276,-98.867
Ohio School for the Deaf,1829,197,500 Morse Road,Columbus,Ohio,43214,Spartans,PreK-12,Residential,https://osd.ohio.gov/,40.06468,-83.0055
Oklahoma School for the Deaf,1906,120,1100 East Oklahoma Avenue,Sulphur,Oklahoma,73086,Indians,PreK-12,Residential,https://www.osd.k12.ok.us/,34.51214,-96.9536
Oregon School for the Deaf,1870,156,999 Locust Street NE,Salem,Oregon,97301-0954,Panthers,K-12,Residential,https://www.oregon.gov/osd/Pages/default.aspx,44.96672,-123.024
Pennsylvania School for the Deaf,1820,206,100 W School House Lane,Philadelphia,Pennsylvania,19144,Panthers,PreK-12,Day,https://psd.org/,40.03194,-75.1747
Phoenix Day School for the Deaf,1967,59,7654 N. 19th Avenue,Phoenix,Arizona,85021,Roadrunners,PreK-12,Day,https://asdb.az.gov/pdsd/,33.55016,-112.1
"P.S. 347 ""47"" The American Sign Language and English Lower School",2005,21,225 E 23rd Street,New York City,New York,10010,Tigers,PreK-8,Day,https://www.ps347.org/,40.73863,-73.9816
P.S. 47 The American Sign Language and English Secondary School,1908,118,225 E 23rd Street,New York City,New York,10010,Tigers,9-12,Day,https://www.47aslhs.net/,40.73878,-73.9814
Rhode Island School for the Deaf,1876,150,One Corliss Park,Providence,Rhode Island,02908,Roosters,PreK-12,Day,https://rideaf.ri.gov/index.php,41.85084,-71.4272
Rochester School for the Deaf,1876,150,1545 St Paul Street,Rochester,New York,14621,Wildcats,PreK-12,Residential,https://www.rsdeaf.org/,43.18546,-77.6246
South Carolina School for the Deaf and Blind,1849,177,355 Cedar Springs Road,Spartanburg,South Carolina,29302,Hornets,PreK-12,Residential,https://www.scsdb.org/,34.91105,-81.8815
St. Francis de Sales School for the Deaf,1960,66,260 Eastern Parkway,Brooklyn,New York,11225,,PreK-8,Day,https://sfdesales.org/,40.67086,-73.9608
St. Joseph's School for the Deaf,1869,157,1000 Hutchinson River Parkway,Bronx,New York,10465,,PreK-8,Day,https://www.sjsdny.org/,40.82737,-73.8358
St. Mary's School for the Deaf,1853,173,2253 Main Street,Buffalo,New York,14214,Bison,PreK-12,Residential,https://www.smsdk12.org/,42.93078,-78.8471
St. Rita School for the Deaf,1915,111,1720 Glendale Milford Road,Cincinnati,Ohio,45215,Lions,PreK-12,Day,https://www.srsdeaf.org/,39.25571,-84.4446
Tennessee School for the Deaf,1845,181,2725 Island Home Blvd,Knoxville,Tennessee,37920,Vikings,PreK-12,Residential,https://www.tsdeaf.org/,35.95883,-83.8773
Texas School for the Deaf,1856,170,1102 S. Congress Avenue,Austin,Texas,78704,Rangers,PreK-12,Residential,https://www.tsd.state.tx.us/,30.25379,-97.7491
The Learning Center for the Deaf,1970,56,848 Central Street,Framingham,Massachusetts,01701,Galloping Ghosts,PreK-12,Residential,https://www.tlcdeaf.org/,42.30691,-71.4282
Rocky Mountain School for the Deaf,1997,29,10300 W. Nassau Avenue,Denver,Colorado,80235,Mountain Lions (?),PreK-12,Day,https://rmds.jeffcopublicschools.org/,39.64322,-105.111
Utah School for the Deaf and Blind - Ogden Campus,1884,142,742 S Harrison Blvd,Ogden,Utah,84404,Eagles,PreK-12,Residential,https://www.usdb.org/,41.25084,-111.945
Utah School for the Deaf and Blind - Springville Campus,2020,6,1160 W. 900 S,Springville,Utah,84663,,PreK-12,Day,https://www.usdb.org/programs/deaf-and-hard-of-hearing/eds/,40.1545,-111.631
Virginia School for the Deaf and the Blind,1839,187,104 VSDB Drive,Staunton,Virginia,24401,Cardinals,PreK-12,Residential,https://www.vsdb.k12.va.us/,38.15049,-79.064
Washington School for the Deaf,1886,140,611 Grand Blvd,Vancouver,Washington,98661,Terriers,K-12,Residential,https://www.wsd.wa.gov/,45.62513,-122.639
West Virginia Schools for the Deaf and Blind,1870,156,301 East Main Street,Romney,West Virginia,26757,Lions,PreK-12,Residential,https://www.wvsdb2.state.k12.wv.us/,39.3416,-78.752
Western Pennsylvania School for the Deaf,1869,157,300 East Swissvale Avenue,Edgewood,Pennsylvania,15218,Lions,PreK-12,Residential,https://www.wpsd.org/,40.43457,-79.8815
West Tennessee School for the Deaf,1986,40,100 Berryhill Drive,Jackson,Tennessee,38301,Eagles,PreK-6,Day,https://www.tsdeaf.org/apps/pages/WTSD,35.64632,-88.7887
Willie Ross School for the Deaf,1967,59,32 Norway Street,Longmeadow,Massachusetts,01106,,PreK-12,Day,https://www.wrsdeaf.org/,42.03104,-72.5782
Wisconsin School for the Deaf,1852,174,309 W. Walworth Avenue,Delavan,Wisconsin,53115,Firebirds,PreK-12,Residential,https://wesp-dhh.wi.gov/wsd/,42.63381,-88.6561
